Num.,Indicador,DescripciÑn,MnemÑnico,Rangos,Longitud
143,PoblaciÑn masculina de 12 aÐos y màs ocupada,"Hombres de 12 a 130 aÐos de edad que trabajaron o que no trabajaron, pero sÕ tenÕan trabajo en la semana de referencia.",POCUPADA_M,0...999999999,9
144,PoblaciÑn de 12 aÐos y màs desocupada,"Personas de 12 a 130 aÐos de edad que no tenÕan trabajo, pero buscaron trabajo en la semana de referencia. ",PDESOCUP,0...999999999,9
145,PoblaciÑn femenina de 12 aÐos y màs desocupada,"Mujeres de 12 a 130 aÐos de edad que no tenÕan trabajo, pero buscaron trabajo en la semana de referencia.",PDESOCUP_F,0...999999999,9
146,PoblaciÑn masculina de 12 aÐos y màs desocupada,"Hombres de 12 a 130 aÐos de edad que no tenÕan trabajo, pero buscaron trabajo en la semana de referencia.",PDESOCUP_M,0...999999999,9
147,PoblaciÑn sin afiliaciÑn a servicios de salud,Total de personas que no estàn afiliadas a servicios m_dicos en ninguna instituciÑn pÏblica o privada,PSINDER,0...999999999,9
148,PoblaciÑn afiliada a servicios de salud,"Total de personas que estàn afiliadas a servicios m_dicos en alguna instituciÑn de salud pÏblica o privada como: el Instituto Mexicano del Seguro Social (IMSS), el Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado (ISSSTE e ISSSTE estatal), PetrÑleos Mexicanos (PEMEX), la SecretarÕa de la Defensa Nacional (SEDENA), la SecretarÕa de Marina Armada de M_xico (SEMAR), el Instituto de Salud para el Bienestar (INSABI) o en otra.",PDER_SS,0...999999999,9
149,PoblaciÑn afiliada a servicios de salud en el IMSS,Total de personas que estàn afiliadas a servicios m_dicos en el Instituto Mexicano del Seguro Social (IMSS).,PDER_IMSS,0...999999999,9
150,PoblaciÑn afiliada a servicios de salud en el ISSSTE,Total de personas que estàn afiliadas a servicios m_dicos en el Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado.,PDER_ISTE,0...999999999,9
151,PoblaciÑn afiliada a servicios de salud en el ISSSTE estatal,"Total de personas que estàn afiliadas a servicios m_dicos en los institutos de seguridad social de los estados (ISSSTE, ISSSEMyM, ISSSTEZAC, ISSSPEA o ISSSTESON).",PDER_ISTEE,0...999999999,9
152,"PoblaciÑn afiliada a servicios de salud en PEMEX, Defensa o Marina","Total de personas que estàn afiliadas a servicios m_dicos en PetrÑleos Mexicanos (PEMEX), la SecretarÕa de la Defensa Nacional (SEDENA) o la SecretarÕa de Marina Armada de M_xico (SEMAR).",PAFIL_PDOM,0...999999999,9
153,PoblaciÑn afiliada a servicios de salud en el Instituto de Salud para el Bienestar,"Total de personas que estàn afiliadas a servicios m_dicos en la SecretarÕa de Salud, mediante en el Instituto de Salud para el Bienestar.",PDER_SEGP,0...999999999,9
154,PoblaciÑn afiliada a servicios de salud en el IMSS BIENESTAR,Total de personas que estàn afiliadas a servicios m_dicos en el Instituto Mexicano del Seguro Social (IMSS) BIENESTAR,PDER_IMSSB,0...999999999,9
155,PoblaciÑn afiliada a servicios de salud en una instituciÑn privada,Total de personas que estàn afiliadas a servicios m_dicos en instituciones de salud privadas.,PAFIL_IPRIV,0...999999999,9
156,PoblaciÑn afiliada a servicios de salud en otra instituciÑn,Total de personas que estàn afiliadas a servicios m_dicos en cualquier otra instituciÑn de salud pÏblica o privada. ,PAFIL_OTRAI,0...999999999,9
157,PoblaciÑn de 12 aÐos y màs soltera o nunca unida,Personas de 12 a 130 aÐos de edad solteras.,P12YM_SOLT,0...999999999,9
158,PoblaciÑn de 12 aÐos y màs casada o unida,Personas de 12 a 130 aÐos de edad casadas sÑlo por el civil; casadas sÑlo religiosamente o; casadas por el civil y religiosamente o en uniÑn libre.,P12YM_CASA,0...999999999,9
159,PoblaciÑn de 12 aÐos y màs que estuvo casada o unida,"Personas de 12 a 130 aÐos de edad que estàn separadas, divorciadas o viudas. ",P12YM_SEPA,0...999999999,9
160,PoblaciÑn con religiÑn catÑlica,Personas que tienen como creencia o preferencia espiritual la religiÑn catÑlica,PCATOLICA,0...999999999,9
161,PoblaciÑn con grupo religioso protestante/cristiano evang_lico,"Incluye a las denominaciones religiosas del grupo protestante/cristiano evang_lico: protestante, pentecostal, iglesia del Dios vivo, columna y apoyo de la verdad, la luz del mundo, cristiana, evang_lica, iglesia de Jesucristo de los santos de los Ïltimos dÕas (mormÑn) entre otras.",PRO_CRIEVA,0...999999999,9
162,PoblaciÑn con otras religiones diferentes a las anteriores,Personas con otras creencias o preferencias espirituales diferentes a las anteriores.,POTRAS_REL,0...999999999,9
163,PoblaciÑn sin religiÑn o sin adscripciÑn religiosa,Personas que declararon no tener religiÑn o no estar adscritas en alguna.,PSIN_RELIG,0...999999999,9
164,Total de hogares censales,Hogares en viviendas particulares habitadas. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,TOTHOG,0...999999999,9
165,Hogares censales con persona de referencia mujer,Hogares en viviendas particulares habitadas donde la persona de referencia es mujer. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,HOGJEF_F,0...999999999,9
166,Hogares censales con persona de referencia hombre,Hogares en viviendas particulares habitadas donde la persona de referencia es hombre. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,HOGJEF_M,0...999999999,9
167,PoblaciÑn en hogares censales,Personas en hogares censales. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,POBHOG,0...99999999,9
168,PoblaciÑn en hogares censales con persona de referencia mujer,Personas en hogares censales donde la persona de referencia es mujer. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,PHOGJEF_F,0...999999999,9
169,PoblaciÑn en hogares censales con persona de referencia hombre,Personas en hogares censales donde la persona de referencia es hombre. Se considera un hogar en cada vivienda particular. Incluye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea; local no construido para habitaciÑn; vivienda mÑvil; refugio y no especificado de vivienda particular.,PHOGJEF_M,0...999999999,9
170,Total de viviendas,"Viviendas particulares habitadas, deshabitadas, de uso temporal y colectivas. Incluye a las viviendas sin informaciÑn de ocupantes.",VIVTOT,0...999999999,9
171,Total de viviendas habitadas,Viviendas particulares y colectivas habitadas. Incluye a las viviendas sin informaciÑn de ocupantes ,TVIVHAB,0...999999999,9
172,Total de viviendas particulares,"Viviendas particulares habitadas, deshabitadas y de uso temporal. Excluye a las viviendas sin informaciÑn de ocupantes.",TVIVPAR,0...999999999,9
173,Viviendas particulares habitadas,"Viviendas particulares habitadas de cualquier clase: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio; local no construido para habitaciÑn, vivienda mÑvil; refugio y no especificado de vivienda particular. Excluye a las viviendas particulares sin informaciÑn de ocupantes.",VIVPAR_HAB,0...999999999,9
174,Total de viviendas particulares habitadas con caracterÕsticas,"Viviendas particulares habitadas a las que se les captan sus caracterÕsticas, inlcuye casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VIVPARH_CV,0...999999999,9
175,Total de viviendas particulares habitadas,"Viviendas particulares habitadas de cualquier clase: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio; local no construido para habitaciÑn, vivienda mÑvil; refugio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes. ",TVIVPARHAB,0...999999999,9
176,Viviendas particulares deshabitadas,Viviendas particulares deshabitadas.,VIVPAR_DES,0...999999999,9
177,Viviendas particulares de uso temporal,Viviendas particulares de uso temporal.,VIVPAR_UT,0...999999999,9
178,Ocupantes en viviendas particulares habitadas,"Personas que residen en viviendas particulares habitadas de cualquier clase: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio; local no construido para habitaciÑn, vivienda mÑvil; refugio y no especificado de vivienda particular. Incluye una estimaciÑn de personas en viviendas particulares sin informaciÑn de ocupantes y menores omitidos.",OCUPVIVPAR,0...99999999,9
179,Promedio de ocupantes en viviendas particulares habitadas,"Resultado de dividir el nÏmero de personas que residen en viviendas particulares habitadas, entre el nÏmero de esas viviendas.",PROM_OCUP,0...999999999,9
180,Promedio de ocupantes por cuarto en viviendas particulares habitadas,"Resultado de dividir el nÏmero de personas que residen en viviendas particulares habitadas entre el nÏmero de cuartos de esas viviendas. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",PRO_OCUP_C,0...999999999,9
181,Viviendas particulares habitadas con piso de material diferente de tierra,"Viviendas particulares habitadas con piso de cemento o firme, madera, mosaico u otro material. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_PISODT,0...999999999,9
182,Viviendas particulares habitadas con piso de tierra,"Viviendas particulares habitadas con piso de tierra. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_PISOTI,0...999999999,9
183,Viviendas particulares habitadas con un dormitorio,"Viviendas particulares habitadas con un dormitorio. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_1DOR,0ƒ 999999999,9
184,Viviendas particulares habitadas con dos dormitorios y màs,"Viviendas particulares habitadas que usan para dormir entre 2 y 25 cuartos. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_2YMASD,0ƒ999999999,9
185,Viviendas particulares habitadas con sÑlo un cuarto,"Viviendas particulares habitadas que tienen sÑlo un cuarto. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_1CUART,0ƒ999999999,9
186,Viviendas particulares habitadas con dos cuartos,"Viviendas particulares habitadas que tienen dos cuartos. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_2CUART,0ƒ999999999,9
187,Viviendas particulares habitadas con 3 cuartos y màs,"Viviendas particulares habitadas que tienen entre 3 y 25 cuartos. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_3YMASC,0ƒ999999999,9
188,Viviendas particulares habitadas que disponen de energÕa el_ctrica,"Viviendas particulares habitadas que tienen energÕa el_ctrica. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_C_ELEC,0ƒ999999999,9
189,Viviendas particulares habitadas que no disponen de energÕa el_ctrica,"Viviendas particulares habitadas que no tienen energÕa el_ctrica. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_S_ELEC,0ƒ999999999,9
190,Viviendas particulares habitadas que disponen de agua entubada en el àmbito de la vivienda,"Viviendas particulares habitadas que tienen disponibilidad de agua entubada dentro de la vivienda o sÑlo en el patio o terreno. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_AGUADV,0ƒ999999999,9
191,Viviendas particulares habitadas que disponen de agua entubada y se abastecen del servicio pÏblico de agua,"Viviendas particulares habitadas que tienen agua entubada y se abastecen del servicio pÏblico de agua. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_AEASP,0ƒ999999999,9
192,Viviendas particulares habitadas que no disponen de agua entubada en el àmbito de la vivienda,"Viviendas particulares habitadas que no tienen disponibilidad de agua entubada. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_AGUAFV,0ƒ999999999,9
193,Viviendas particulares habitadas que disponen de tinaco,"Viviendas particulares habitadas que tienen tinaco. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_TINACO,0ƒ999999999,9
194,Viviendas particulares habitadas que disponen de cisterna o aljibe,"Viviendas particulares habitadas que tienen cisterna o aljibe. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_CISTER,0ƒ999999999,9
195,Viviendas particulares habitadas que disponen de excusado o sanitario,"Viviendas particulares habitadas que tienen taza de baÐo (excusado o sanitario). Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_EXCSA,0ƒ999999999,9
196,Viviendas particulares habitadas que disponen de letrina (pozo u hoyo),"Viviendas particulares habitadas que tienen letrina (pozo u hoyo). Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_LETR,0ƒ999999999,9
197,Viviendas particulares habitadas que disponen de drenaje,"Viviendas particulares habitadas que tienen drenaje conectado a la red pÏblica; una fosa s_ptica o tanque s_ptico (biodigestor); una tuberÕa que va a dar a una barranca o grieta, rÕo, lago o mar. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_DRENAJ,0ƒ999999999,9
198,Viviendas particulares habitadas que no disponen de drenaje,"Viviendas particulares habitadas que no tienen drenaje. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_NODREN,0ƒ999999999,9
199,"Viviendas particulares habitadas que disponen de energÕa el_ctrica, agua entubada de la red pÏblica y drenaje","Viviendas particulares habitadas que tienen energÕa el_ctrica, agua entubada dentro de la vivienda o sÑlo en el patio o terreno y drenaje conectado a la red pÏblica; una fosa s_ptica o tanque s_ptico (biodigestor); una tuberÕa que va a dar a una barranca o grieta, rÕo, lago o mar. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_C_SERV,0ƒ999999999,9
200,"Viviendas particulares habitadas que no disponen de energÕa el_ctrica, agua entubada, ni drenaje","Viviendas particulares habitadas que no tienen energÕa el_ctrica, agua entubada ni drenaje. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_NDEAED,0ƒ999999999,9
201,Viviendas particulares que disponen de drenaje y sanitario con admisiÑn de agua,"Viviendas particulares habitadas que tienen drenaje conectado a la red pÏblica; una fosa s_ptica o tanque s_ptico (biodigestor); una tuberÕa que va a dar a una barranca o grieta, rÕo, lago o mar; taza de baÐo (excusado o sanitario); letrina (pozo u hoyo) con admisiÑn de agua. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_DSADMA,0ƒ999999999,9
202,"Viviendas particulares habitadas que no disponen de automÑvil o camioneta, ni de motocicleta o motoneta","Viviendas particulares habitadas que no tienen automÑvil o camioneta ni motocicleta o motoneta. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_NDACMM,0ƒ999999999,9
203,Viviendas particulares habitadas sin ningÏn bien,"Viviendas particulares habitadas donde no cuentan con refrigerador; lavadora; horno de microondas automÑvil o camioneta; motocicleta o motoneta; bicicleta que se utilice como medio de transporte; algÏn aparato o dispositivo para oÕr radio; televisor; computadora, laptop o tablet; Internet; lÕnea telefÑnica fija; tel_fono celular; servicio de televisiÑn de paga (cable o satelital); servicio de pelÕculas, mÏsica o videos de paga por Internet ni consola de videojuegos. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_SNBIEN,0ƒ999999999,9
204,Viviendas particulares habitadas que disponen de refrigerador,"Viviendas particulares habitadas que tienen refrigerador. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_REFRI,0ƒ999999999,9
205,Viviendas particulares habitadas que disponen de lavadora,"Viviendas particulares habitadas que tienen lavadora. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_LAVAD,0ƒ999999999,9
206,Viviendas particulares habitadas que disponen de horno de microondas,"Viviendas particulares habitadas que tienen horno de microondas. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_HMICRO,0ƒ999999999,9
207,Viviendas particulares habitadas que disponen de automÑvil o camioneta,"Viviendas particulares habitadas que tienen automÑvil o camioneta. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_AUTOM,0ƒ999999999,9
208,Viviendas particulares habitadas que disponen de motocicleta o motoneta,"Viviendas particulares habitadas que tienen motocicleta o motoneta. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_MOTO,0ƒ999999999,9
209,Viviendas particulares habitadas que disponen de bicicleta como medio de transporte,"Viviendas particulares habitadas que tienen bicicleta que se utilice como medio de transporte. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_BICI,0ƒ999999999,9
210,Viviendas particulares habitadas que disponen de radio,"Viviendas particulares habitadas que tienen algÏn aparato o dispositivo para oÕr radio. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_RADIO,0ƒ999999999,9
211,Viviendas particulares habitadas que disponen de televisor,"Viviendas particulares habitadas que tienen televisor.  Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_TV,0ƒ999999999,9
212,"Viviendas particulares habitadas que disponen de computadora, laptop o tablet","Viviendas particulares habitadas que tienen computadora, laptop o tablet. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_PC,0ƒ999999999,9
213,Viviendas particulares habitadas que disponen de lÕnea telefÑnica fija,"Viviendas particulares habitadas que tienen lÕnea telefÑnica fija. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_TELEF,0ƒ999999999,9
214,Viviendas particulares habitadas que disponen de tel_fono celular,"Viviendas particulares habitadas que tienen tel_fono celular. Comprende las viviendas particulares para las que se captaron las caracterÕsticas de la vivienda, clasificadas como: casa Ïnica en el terreno; casa que comparte terreno con otra(s); casa dÏplex; departamento en edificio; vivienda en vecindad o cuarterÕa; vivienda en cuarto de azotea de un edificio y no especificado de vivienda particular. Incluye a las viviendas particulares sin informaciÑn de ocupantes.",VPH_CEL,0ƒ999999999,9
